archive_or_file,available,content_type,dataset,filelist_error,filelist_size_bytes,filelist_time,filelist_type,head_error,http_status,remote_last_modified,remote_size_bytes,supplement_name,supplement_url
File,,,GSE213628,,14152235,09/19/2022 11:54:12,COV,,,,,GSM6590433_BLD_O1.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590433_BLD_O1.bismark.cov.gz
File,,,GSE213628,,14343695,09/19/2022 11:54:16,COV,,,,,GSM6590434_BLD_O2.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590434_BLD_O2.bismark.cov.gz
File,,,GSE213628,,26945669,09/19/2022 11:54:24,COV,,,,,GSM6590435_BLD_O3.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590435_BLD_O3.bismark.cov.gz
File,,,GSE213628,,26814719,09/19/2022 11:54:32,COV,,,,,GSM6590436_BLD_O4.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590436_BLD_O4.bismark.cov.gz
File,,,GSE213628,,24319399,09/19/2022 11:54:40,COV,,,,,GSM6590437_HT_Y1.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590437_HT_Y1.bismark.cov.gz
File,,,GSE213628,,24891355,09/19/2022 11:54:47,COV,,,,,GSM6590438_HT_Y2.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590438_HT_Y2.bismark.cov.gz
File,,,GSE213628,,23704426,09/19/2022 11:54:55,COV,,,,,GSM6590439_HT_Y3.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590439_HT_Y3.bismark.cov.gz
File,,,GSE213628,,17219627,09/19/2022 11:55:00,COV,,,,,GSM6590440_HT_Y4.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590440_HT_Y4.bismark.cov.gz
File,,,GSE213628,,16359661,09/19/2022 11:55:05,COV,,,,,GSM6590441_HT_Y5.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590441_HT_Y5.bismark.cov.gz
File,,,GSE213628,,33451696,09/19/2022 11:55:14,COV,,,,,GSM6590442_HT_Y6.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590442_HT_Y6.bismark.cov.gz
